Doc No,Tran Type,Customer ID,Class,OrderDate,ShipDate,Terms,Ship Method,Line No,Item,Ordered,Shipped,BackOrder,BackOrder2,PricePer,Status,SalesRepID,CustomerType,DiscountAmount,SOAmount,SOPaymentAmount,Available,InvoiceNo
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,11,DAC0171-0001,2,0,2,2,6.6,OPEN,45,Tradeshow/Promo,0,1580.1,0,0,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,10,DAC0171-0004,2,0,2,2,6.6,OPEN,45,Tradeshow/Promo,0,1580.1,0,0,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,9,DAC0171-0005,1,0,1,1,6.6,OPEN,45,Tradeshow/Promo,0,1580.1,0,0,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,8,DAC0171-0014,1,0,1,1,6.6,OPEN,45,Tradeshow/Promo,0,1580.1,0,0,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,12,DAC0175-0016,1,0,1,1,32,OPEN,45,Tradeshow/Promo,0,1580.1,0,0,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,1,DAC0741-0001,37,0,37,37,6,OPEN,45,Tradeshow/Promo,0,1580.1,0,61,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,2,DAC0741-0002,36,0,36,36,6,OPEN,45,Tradeshow/Promo,0,1580.1,0,47,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,3,DAC0741-0003,36,0,36,36,6,OPEN,45,Tradeshow/Promo,0,1580.1,0,80,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,4,DAC0741-0004,36,0,36,36,6,OPEN,45,Tradeshow/Promo,0,1580.1,0,78,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,5,DAC0741-0005,36,0,36,36,6,OPEN,45,Tradeshow/Promo,0,1580.1,0,84,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,6,DAC0741-0014,36,0,36,36,6,OPEN,45,Tradeshow/Promo,0,1580.1,0,81,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,7,DAC0741-0015,35,0,35,35,3.5,OPEN,45,Tradeshow/Promo,0,1580.1,0,75,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,15,ROF0014-0016,1,0,1,1,0,OPEN,45,Tradeshow/Promo,0,1580.1,0,0,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,13,ROF0031-0001,1,0,1,1,42,OPEN,45,Tradeshow/Promo,0,1580.1,0,9,
33144,Sales Order,4135,Tradeshow/Promo,5/9/2028,5/10/2028,Samples,Hand Delivered,14,ROF0031-0004,1,0,1,1,42,OPEN,45,Tradeshow/Promo,0,1580.1,0,0,
33145,Sales Order,5705,Wholesale,5/9/2028,5/23/2028,No Charge,UPS Ground,1,ROD0100-0303-Cover Only,5,5,0,0,16,Closed,7,Wholesale,0,450.5,0,0,
33145,Sales Order,5705,Wholesale,5/9/2028,5/23/2028,No Charge,UPS Ground,3,ROD0120-0202-Cover Only,6,6,0,0,28.5,Closed,7,Wholesale,0,450.5,0,-8,
33145,Sales Order,5705,Wholesale,5/9/2028,5/23/2028,No Charge,UPS Ground,2,ROD0120-0303-Cover Only,7,7,0,0,28.5,Closed,7,Wholesale,0,450.5,0,-2,
33146,Sales Order,6088,Promotional,5/9/2028,5/10/2028,Credit Card,UPS 3-Day,1,UHS0040-0005,1,1,0,0,29.12,Closed,37,Promotional,0,29.12,0,0,45785
33147,Sales Order,2156,Promotional,5/9/2028,5/12/2028,Credit Card,UPS Ground,1,DAC0190-0002,1,1,0,0,20.8,Closed,37,Promotional,0,20.8,20.8,1,45949
33148,Sales Order,6233,Promotional,5/9/2028,5/11/2028,Credit Card,FedEx Ground,1,DAC0750-0004,1,1,0,0,16.64,Closed,37,Promotional,0,33.28,0,2,45787
33148,Sales Order,6233,Promotional,5/9/2028,5/11/2028,Credit Card,FedEx Ground,2,DAC0750-0014,1,1,0,0,16.64,Closed,37,Promotional,0,33.28,0,0,45787
33149,Sales Order,6234,Retail:Online,5/9/2028,5/13/2028,Credit Card,FedEx 2Day,3,BAA0012,1,1,0,0,5,Closed,45,Retail,0,90.42,90.42,0,45885
33149,Sales Order,6234,Retail:Online,5/9/2028,5/13/2028,Credit Card,FedEx 2Day,1,TBK0040-0001-BK,1,1,0,0,54,Closed,45,Retail,0,90.42,90.42,50,45885
33149,Sales Order,6234,Retail:Online,5/9/2028,5/13/2028,Credit Card,FedEx 2Day,2,Shipping & Handling,1,1,0,0,31.42,Closed,45,Retail,0,90.42,90.42,0,45885
33150,Sales Order,6235,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,DAC0032-3001,1,1,0,0,18,Closed,45,Retail,0,56.45,56.45,10,45893
33150,Sales Order,6235,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,3,DAC0032-3101,1,1,0,0,18,Closed,45,Retail,0,56.45,56.45,2,45893
33150,Sales Order,6235,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,DAC0034-0014,1,1,0,0,13.5,Closed,45,Retail,0,56.45,56.45,0,45893
33150,Sales Order,6235,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,4,Shipping & Handling,1,1,0,0,6.95,Closed,45,Retail,0,56.45,56.45,0,45893
33151,Sales Order,6236,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,120.7,120.7,0,45978
33151,Sales Order,6236,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,TBK0080-0002,1,1,0,0,101.25,Closed,45,Retail,0,120.7,120.7,0,45978
33151,Sales Order,6236,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,9.45,Closed,45,Retail,0,120.7,120.7,0,45978
33152,Sales Order,6237,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,5,BAA0001,1,1,0,0,10,Closed,45,Retail,8,69.75,69.75,0,45979
33152,Sales Order,6237,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,3,DAC0740-0006,1,1,0,0,5.75,Closed,45,Retail,8,69.75,69.75,0,45979
33152,Sales Order,6237,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,2,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,8,69.75,69.75,47,45979
33152,Sales Order,6237,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,1,TBK0040-0001-BK,1,1,0,0,54,Closed,45,Retail,8,69.75,69.75,50,45979
33152,Sales Order,6237,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,4,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,8,69.75,69.75,0,45979
33153,Sales Order,6238,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,TBK0245-0002,1,1,0,0,38.25,Closed,45,Retail,0,45.3,45.3,-2,45900
33153,Sales Order,6238,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.05,Closed,45,Retail,0,45.3,45.3,0,45900
33154,Sales Order,6239,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,1,DAC0130-0005,1,1,0,0,9,Closed,45,Retail,0,25.05,25.05,18,45864
33154,Sales Order,6239,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,2,DAC0131-0001,1,1,0,0,9,Closed,45,Retail,0,25.05,25.05,6,45864
33154,Sales Order,6239,Retail:Online,5/9/2028,5/13/2028,Credit Card,USPS Priority,3,Shipping & Handling,1,1,0,0,7.05,Closed,45,Retail,0,25.05,25.05,0,45864
33155,Sales Order,6240,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,5,BAA0001,3,3,0,0,0,Closed,45,Retail,0,135,135,0,45957
33155,Sales Order,6240,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,6,BAA0012,3,3,0,0,0,Closed,45,Retail,0,135,135,0,45957
33155,Sales Order,6240,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,2,DAC0183-0001,1,1,0,0,28.93,Closed,45,Retail,0,135,135,1,45957
33155,Sales Order,6240,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,3,RPF117,1,1,0,0,19.29,Closed,45,Retail,0,135,135,5,45957
33155,Sales Order,6240,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,1,TBK0080-0001,1,1,0,0,86.78,Closed,45,Retail,0,135,135,-1,45957
33155,Sales Order,6240,Retail:Online,5/9/2028,5/13/2028,Paypal,Free Shipping,4,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,135,135,0,45957
33156,Sales Order,4702,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,5,BAA0001,2,2,0,0,10,Closed,45,Retail,8,83,83,0,45975
33156,Sales Order,4702,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,3,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,8,83,83,47,45975
33156,Sales Order,4702,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,1,ROD0001-0001,1,1,0,0,31.5,Closed,45,Retail,8,83,83,0,45975
33156,Sales Order,4702,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,2,ROD0001-0002,1,1,0,0,31.5,Closed,45,Retail,8,83,83,-3,45975
33156,Sales Order,4702,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,4,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,8,83,83,0,45975
33157,Sales Order,6241,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,3,BAA0001,2,2,0,0,10,Closed,45,Retail,0,85.25,85.25,0,45958
33157,Sales Order,6241,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,1,ROF0055-0001,1,1,0,0,65.25,Closed,45,Retail,0,85.25,85.25,1,45958
33157,Sales Order,6241,Retail:Online,5/9/2028,5/13/2028,Credit Card,Free Shipping,2,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,85.25,85.25,0,45958
33158,Sales Order,6242,Retail:Online,5/10/2028,5/16/2028,Credit Card,FedEx 2Day,4,BAA0012,2,2,0,0,5,Closed,45,Retail,0,195.29,195.29,0,45961
33158,Sales Order,6242,Retail:Online,5/10/2028,5/16/2028,Credit Card,FedEx 2Day,1,TBK0061-0151,1,1,0,0,71,Closed,45,Retail,0,195.29,195.29,0,45961
33158,Sales Order,6242,Retail:Online,5/10/2028,5/16/2028,Credit Card,FedEx 2Day,2,TBK0061-0155,1,1,0,0,71,Closed,45,Retail,0,195.29,195.29,0,45961
33158,Sales Order,6242,Retail:Online,5/10/2028,5/16/2028,Credit Card,FedEx 2Day,3,Shipping & Handling,1,1,0,0,43.29,Closed,45,Retail,0,195.29,195.29,0,45961
33159,Sales Order,6243,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,1,TBK0080-0001,1,1,0,0,101.25,Closed,45,Retail,0,101.25,101.25,-1,45898
33159,Sales Order,6243,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,2,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,101.25,101.25,0,45898
33160,Sales Order,6244,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,2,ROD0020-0002,1,1,0,0,38.25,Closed,45,Retail,0,76.5,76.5,1,46061
33160,Sales Order,6244,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,1,ROD0020-0004,1,1,0,0,38.25,Closed,45,Retail,0,76.5,76.5,1,46061
33160,Sales Order,6244,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,3,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,76.5,76.5,0,46061
33161,Sales Order,10394,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,3,DAC0101-0002,2,2,0,0,33.75,Closed,45,Retail,0,283.28,270.5,28,46051
33161,Sales Order,10394,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,8,DAC0741-0004,1,1,0,0,12.78,Closed,45,Retail,0,283.28,270.5,78,46051
33161,Sales Order,10394,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,1,ROD0001-0001,2,2,0,0,31.5,Closed,45,Retail,0,283.28,270.5,0,46051
33161,Sales Order,10394,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,2,ROD0001-0002,2,2,0,0,31.5,Closed,45,Retail,0,283.28,270.5,-3,46051
33161,Sales Order,10394,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,4,TBK0215-0001,1,1,0,0,47.25,Closed,45,Retail,0,283.28,270.5,-1,46051
33161,Sales Order,10394,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,5,BRS-0009,1,1,0,0,9.75,Closed,45,Retail,0,283.28,270.5,1096,46051
33161,Sales Order,10394,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,7,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,283.28,270.5,0,46051
33162,Sales Order,6245,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Priority,3,DAC0183-0002,1,1,0,0,33.75,Closed,45,Retail,8,47.35,47.35,0,45954
33162,Sales Order,6245,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Priority,2,DAC0740-0006,1,1,0,0,5.75,Closed,45,Retail,8,47.35,47.35,0,45954
33162,Sales Order,6245,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Priority,1,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,8,47.35,47.35,47,45954
33162,Sales Order,6245,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Priority,4,Shipping & Handling,1,1,0,0,7.85,Closed,45,Retail,8,47.35,47.35,0,45954
33163,Sales Order,6246,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,62.55,62.55,0,46058
33163,Sales Order,6246,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,4,BAA0012,1,1,0,0,5,Closed,45,Retail,0,62.55,62.55,0,46058
33163,Sales Order,6246,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,1,TBK0030-0014-WP,1,1,0,0,40.5,Closed,45,Retail,0,62.55,62.55,0,46058
33163,Sales Order,6246,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.05,Closed,45,Retail,0,62.55,62.55,0,46058
33164,Sales Order,6247,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Priority,4,BAA0001,2,2,0,0,5,Closed,45,Retail,0,89.45,89.45,0,In Queue
33164,Sales Order,6247,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Priority,1,TBK0172-0002,1,1,0,0,45,Closed,45,Retail,0,89.45,89.45,-1,In Queue
33164,Sales Order,6247,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Priority,2,BRS-0005,2,2,0,0,12.5,Closed,45,Retail,0,89.45,89.45,5552.69,In Queue
33164,Sales Order,6247,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Priority,3,Shipping & Handling,1,1,0,0,9.45,Closed,45,Retail,0,89.45,89.45,0,In Queue
33165,Sales Order,6248,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,1,ROF0050-0202,1,1,0,0,65.25,Closed,45,Retail,0,73,73,0,45973
33165,Sales Order,6248,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.75,Closed,45,Retail,0,73,73,0,45973
33166,Sales Order,6249,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,4,BAA0001,1,1,0,0,10,Closed,45,Retail,8,62.3,62.3,0,46069
33166,Sales Order,6249,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,2,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,8,62.3,62.3,47,46069
33166,Sales Order,6249,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,1,TBK0172-0001,1,1,0,0,45,Closed,45,Retail,8,62.3,62.3,7,46069
33166,Sales Order,6249,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,3,Shipping & Handling,1,1,0,0,7.3,Closed,45,Retail,8,62.3,62.3,0,46069
33167,Sales Order,6250,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,1,TBK0050-0001-BK,1,1,0,0,67.5,Closed,45,Retail,0,75.25,75.25,0,45918
33167,Sales Order,6250,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,2,Shipping & Handling,1,1,0,0,7.75,Closed,45,Retail,0,75.25,75.25,0,45918
33168,Sales Order,6251,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,4,BAA0001,1,1,0,0,10,Closed,45,Retail,0,125.25,125.25,0,46055
33168,Sales Order,6251,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,2,RPF117,1,1,0,0,14,Closed,45,Retail,0,125.25,125.25,5,46055
33168,Sales Order,6251,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,1,TBK0080-0014,1,1,0,0,101.25,Closed,45,Retail,0,125.25,125.25,0,46055
33168,Sales Order,6251,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,3,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,125.25,125.25,0,46055
33169,Sales Order,6252,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,4,BAA0001,1,1,0,0,10,Closed,45,Retail,8,53.35,53.35,0,46060
33169,Sales Order,6252,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,5,BAA0012,1,1,0,0,5,Closed,45,Retail,8,53.35,53.35,0,46060
33169,Sales Order,6252,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,2,DAC0741-0002,1,1,0,0,8,Closed,45,Retail,8,53.35,53.35,47,46060
33169,Sales Order,6252,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,1,ROD0001-0002,1,1,0,0,31.5,Closed,45,Retail,8,53.35,53.35,-3,46060
33169,Sales Order,6252,Retail:Online,5/10/2028,5/16/2028,Credit Card,USPS Priority,3,Shipping & Handling,1,1,0,0,6.85,Closed,45,Retail,8,53.35,53.35,0,46060
33171,Sales Order,6254,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,3,BAA0001,1,1,0,0,10,Closed,45,Retail,0,82.5,82.5,0,46059
33171,Sales Order,6254,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,4,BAA0012,1,1,0,0,5,Closed,45,Retail,0,82.5,82.5,0,46059
33171,Sales Order,6254,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,1,TBK0060-0002,1,1,0,0,67.5,Closed,45,Retail,0,82.5,82.5,-2,46059
33171,Sales Order,6254,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,2,Shipping & Handling,1,1,0,0,0,Closed,45,Retail,0,82.5,82.5,0,46059
33172,Sales Order,6253,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Intl 1st,2,TBK0210-0001,1,1,0,0,25.88,Closed,45,Retail,0,54.13,54.13,14,45871
33172,Sales Order,6253,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Intl 1st,1,BRS-0008,1,1,0,0,5.5,Closed,45,Retail,0,54.13,54.13,0,45871
33172,Sales Order,6253,Retail:Online,5/10/2028,5/16/2028,Paypal,USPS Intl 1st,3,Shipping & Handling,1,1,0,0,22.75,Closed,45,Retail,0,54.13,54.13,0,45871
33173,Sales Order,5298,Promotional,5/10/2028,5/16/2028,Credit Card,UPS Ground,2,BAA0002,1,1,0,0,50,Closed,7,Promotional,0,162.32,0,0,46000
33173,Sales Order,5298,Promotional,5/10/2028,5/16/2028,Credit Card,UPS Ground,3,BAA0002,1,1,0,0,50,Closed,7,Promotional,0,162.32,0,0,46000
33173,Sales Order,5298,Promotional,5/10/2028,5/16/2028,Credit Card,UPS Ground,4,BAA0003,3,3,0,0,1,Closed,7,Promotional,0,162.32,0,0,46000
33173,Sales Order,5298,Promotional,5/10/2028,5/16/2028,Credit Card,UPS Ground,1,TBK0160-0003,3,3,0,0,11.44,Closed,7,Promotional,0,162.32,0,0,46000
33173,Sales Order,5298,Promotional,5/10/2028,5/16/2028,Credit Card,UPS Ground,5,RUSH,1,1,0,0,25,Closed,7,Promotional,0,162.32,0,0,46000
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,2,BAA0002,1,0,0,1,50,OPEN,7,Promotional,0,136.36,0,0,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,3,BAA0003,2,0,0,2,0.5,OPEN,7,Promotional,0,136.36,0,0,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,5,BAA0003,2,0,0,2,0.5,OPEN,7,Promotional,0,136.36,0,0,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,7,BAA0003,2,0,0,2,0.5,OPEN,7,Promotional,0,136.36,0,0,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,9,BAA0003,2,0,0,2,0.5,OPEN,7,Promotional,0,136.36,0,0,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,11,BAA0003,2,0,0,2,0.5,OPEN,7,Promotional,0,136.36,0,0,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,13,BAA0003,2,0,0,2,0.5,OPEN,7,Promotional,0,136.36,0,0,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,12,DAC0131-0002,2,0,0,2,3.83,OPEN,7,Promotional,0,136.36,0,0,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,6,DAC0131-0005,2,0,0,2,3.83,OPEN,7,Promotional,0,136.36,0,2,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,1,DAC0133-0001,2,0,0,2,7.65,OPEN,7,Promotional,0,136.36,0,2,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,8,DAC0133-0002,2,0,0,2,7.65,OPEN,7,Promotional,0,136.36,0,80,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,10,DAC0138-0001,2,0,0,2,8.61,OPEN,7,Promotional,0,136.36,0,8,
33174,Sales Order,6805,Promotional,5/10/2028,5/23/2028,Net 30,UPS Ground,4,DAC0138-0015,2,0,0,2,8.61,OPEN,7,Promotional,0,136.36,0,1,
33175,Sales Order,4074,Corporate,5/10/2028,5/17/2028,Net 30,Pick Up,1,TBK0220-0101-MS,1,1,0,0,36.45,Closed,7,Corporate,0,36.45,0,0,46006
33176,Sales Order,3527,Wholesale,5/10/2028,5/18/2028,Credit Card,UPS NextDaySvr,1,ROD0001-0101-PK,8,8,0,0,15,Closed,40,Wholesale,0,120,0,0,46015
33177,Sales Order,3527,Wholesale,5/10/2028,5/19/2028,Credit Card,UPS Ground,4,DAC0190-0002,2,2,0,0,20,Closed,40,Wholesale,0,258,0,1,46004
33177,Sales Order,3527,Wholesale,5/10/2028,5/19/2028,Credit Card,UPS Ground,1,ROD0001-1414-PK,4,4,0,0,15,Closed,40,Wholesale,0,258,0,0,46004
33177,Sales Order,3527,Wholesale,5/10/2028,5/19/2028,Credit Card,UPS Ground,2,ROD0001-1515-PK,4,4,0,0,15,Closed,40,Wholesale,0,258,0,0,46004
33177,Sales Order,3527,Wholesale,5/10/2028,5/19/2028,Credit Card,UPS Ground,5,ROF0020-0101,2,2,0,0,31,Closed,40,Wholesale,0,258,0,0,46004
33177,Sales Order,3527,Wholesale,5/10/2028,5/19/2028,Credit Card,UPS Ground,3,TBK0030-0002-BK,2,2,0,0,18,Closed,40,Wholesale,0,258,0,0,46004
33178,Sales Order,4290,,5/10/2028,5/18/2028,Credit Card,UPS Ground,2,UHS0017-0018-NH-MN,168,168,0,0,5,Closed,40,,102,1938,0,0,46053
33178,Sales Order,4290,,5/10/2028,5/18/2028,Credit Card,UPS Ground,1,UHS0017-0019-NH-MN,240,240,0,0,5,Closed,40,,102,1938,0,0,46053
33179,Sales Order,3037,Dropship,5/10/2028,5/16/2028,Net 30,USPS FirstClass,2,BAA0001,1,1,0,0,8,Closed,7,Dropship,0,30.45,0,0,46064
33179,Sales Order,3037,Dropship,5/10/2028,5/16/2028,Net 30,USPS FirstClass,1,UPH0001-0002-HS,1,1,0,0,16.5,Closed,7,Dropship,0,30.45,0,20,46064
33179,Sales Order,3037,Dropship,5/10/2028,5/16/2028,Net 30,USPS FirstClass,3,Drop Ship Charge,1,1,0,0,5.95,Closed,7,Dropship,0,30.45,0,0,46064
33180,Sales Order,5418,Retail,5/10/2028,5/17/2028,Credit Card,UPS Ground,5,TBK0340-0001,1,1,0,0,12.5,Closed,7,Retail,0,75,75,0,45942
33180,Sales Order,5418,Retail,5/10/2028,5/17/2028,Credit Card,UPS Ground,4,TBK0340-0002,1,1,0,0,12.5,Closed,7,Retail,0,75,75,0,45942
33180,Sales Order,5418,Retail,5/10/2028,5/17/2028,Credit Card,UPS Ground,1,TBK0340-0004,2,2,0,0,12.5,Closed,7,Retail,0,75,75,0,45942
33180,Sales Order,5418,Retail,5/10/2028,5/17/2028,Credit Card,UPS Ground,2,TBK0340-0005,1,1,0,0,12.5,Closed,7,Retail,0,75,75,1,45942
33180,Sales Order,5418,Retail,5/10/2028,5/17/2028,Credit Card,UPS Ground,3,TBK0340-0014,1,1,0,0,12.5,Closed,7,Retail,0,75,75,0,45942
33181,Sales Order,2502,Corporate,5/10/2028,5/18/2028,Credit Card,UPS Ground,2,BAA0001,1,1,0,0,8,Closed,7,Corporate,0,236.25,0,0,In Queue
33181,Sales Order,2502,Corporate,5/10/2028,5/18/2028,Credit Card,UPS Ground,3,BAA0001,1,1,0,0,8,Closed,7,Corporate,0,236.25,0,0,In Queue
33181,Sales Order,2502,Corporate,5/10/2028,5/18/2028,Credit Card,UPS Ground,4,BAA0001,1,1,0,0,8,Closed,7,Corporate,0,236.25,0,0,In Queue
33181,Sales Order,2502,Corporate,5/10/2028,5/18/2028,Credit Card,UPS Ground,5,BAA0003,3,3,0,0,1,Closed,7,Corporate,0,236.25,0,0,In Queue
33181,Sales Order,2502,Corporate,5/10/2028,5/18/2028,Credit Card,UPS Ground,1,ROF0020-0202,3,3,0,0,69.75,Closed,7,Corporate,0,236.25,0,0,In Queue
33182,Sales Order,6255,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,5,BAA0001,1,1,0,0,10,Closed,45,Retail,8,67.5,67.5,0,46035
33182,Sales Order,6255,Retail:Online,5/10/2028,5/16/2028,Credit Card,Free Shipping,3,DAC0741-0001,1,1,0,0,8,Closed,45,Retail,8,67.5,67.5,61,46035
